###LEAGUE LEADERS - Who's in first place?
**LEAGUE**|**TEAM**|**RECORD**|**GAMES AHEAD**
Hasek|JewChooTrain|W1|1-0
Hasek|Denim Chicken|W1|1-0
Hasek|CTE|W1|1-0
Esposito|EXCELlent|W1|1-0
Esposito|Eddie Lack's Corn Boats|W1|1-0
Esposito|Yippee Oh Paille|W1|1-0
Esposito|WhoseLineIsItEberle|W1|1-0
Esposito|Morbo|W1|1-0
Esposito|Hockey puns|W1|1-0
Esposito|Kane I get a hell Yeah!|W1|1-0
Sakic|ponch|W1|1-0
Sakic|Mountain Dubinsky's|W1|1-0
Sakic|#SaveTheTables|W1|1-0
Sakic|Tomas Fleischlights|W1|1-0
Sakic|Stupid Sexy Henrik|W1|1-0
Sakic|Your Pun Sucks|W1|1-0
Sakic|Another Brick in the Roy|W1|1-0
Coffey|LGR|W1|1-0
Coffey|MikePiazza|W1|1-0
Coffey|Bowl of Pastrnak|W1|1-0
Coffey|Lubo Sucks|W1|1-0
Coffey|Fantastic Mr. Faulks|W1|1-0
Coffey|Dany Heatley's Limo Service|W1|1-0
Coffey|Slew Foot Syndicate|W1|1-0
Yzerman|SportsNewbie|W1|1-0
Yzerman|Don't Toews Me Bro|W1|1-0
Yzerman|Hot Crosby's|W1|1-0
Yzerman|The Perry on Top|W1|1-0
Yzerman|Duck Duck Nyquist|W1|1-0
Yzerman|Richers to Hags|W1|1-0
Yzerman|I don't know|W1|1-0
Dionne|Letangarang|W1|1-0
Dionne|Scoregasm99|W1|1-0
Dionne|Fighting MooseKnucklez|W1|1-0
Dionne|Krieder Hard|W1|1-0
Dionne|Nash Rules Everything Around Me|W1|1-0
Dionne|Dionamite Jones|W1|1-0
Dionne|Otto Draft|W1|1-0
Lemieux|McCoy's Red Army|W1|1-0
Lemieux|Barrie Mark's Stone|W1|1-0
Lemieux|South City Squash|W1|1-0
Lemieux|Kronwall Of Pain|W1|1-0
Lemieux|Dr. Peng's Army|W1|1-0
Lemieux|'Scuse me while I Qvist the Sky|W1|1-0
Lemieux|The People's Front of Judea|W1|1-0
Bourque|Crosby's Mayo Boy House|W1|1-0
Bourque|It Ain't Easy Bein' Parise|W1|1-0
Bourque|Ginger Geesus's Grilled Cheeses|W1|1-0
Bourque|bruceitup|W1|1-0
Bourque|Glatt's Greatures|W1|1-0
Bourque|Better Harder Faster Pronger|W1|1-0
Bourque|Btchz Be Krejci|W1|1-0
Francis|Red|W1|1-0
Francis|Rose City Sinners|W1|1-0
Francis|Tarasenk-show|W1|1-0
Francis|Heil Sittler|W1|1-0
Francis|Talk to me Goose|W1|1-0
Francis|Top Chetterberg|W1|1-0
Francis|Kneel before Saad|W1|1-0
Recchi|Giroux've Got to Be Kidding Me|W1|1-0
Recchi|Fussy Puckers|W1|1-0
Recchi|Cammalleri Toews|W1|1-0
Recchi|Carl Seguin|W1|1-0
Recchi|Cech's Other Brother|W1|1-0
Recchi|Kreider, I hardly know her|W1|1-0
Recchi|Dr. Draisaitl's Sick Beats|W1|1-0
Howe|Puck Heads|W1|1-0
Howe|Mystic Coupons|W1|1-0
Howe|Large Oreo McFleury|W1|1-0
Howe|Good Kid, S.A.A.D City|W1|1-0
Howe|The Lunkheads|W1|1-0
Howe|Holy Goalie, Batman!|W1|1-0
Howe|MacDaddy|W1|1-0
Jagr|The Tarasenkshow|W1|1-0
Jagr|Tatartots|W1|1-0
Jagr|falco1002|W1|1-0
Jagr|tba name|W1|1-0
Jagr|Sharknadoes|W1|1-0
Jagr|NO LEAFS!!|W1|1-0
Jagr|Prustcription PangHillers|W1|1-0
Messier|Crystal Lake Campers|W1|1-0
Messier|Skaggetorp HC|W1|1-0
Messier|Glengarry Glencross|W1|1-0
Messier|The Green Men's Eggos|W1|1-0
Messier|Flop To The Top|W1|1-0
Messier|Larkin in the Shadows|W1|1-0
Messier|Oil Beef Hooked|W1|1-0
-----

**LEAGUE**|**TEAM**|**STREAK**|**RECORD**
:-:|:-:|:-:|:-:
Gretzky|Oshie & Him|L1|0-1
Gretzky|Bieska and Lulongo|L1|0-1
Gretzky|Frolunda HC|L1|0-1
Gretzky|Crosby-Laich-Boyes|L1|0-1
Gretzky|Pimpin' Ain't Parise|L1|0-1
Gretzky|Datsyukian Deke|L1|0-1
Gretzky|Tatar Tots|L1|0-1
Brodeur|Can you handle the Yandle?|L1|0-1
Brodeur|Gay porn hard!|L1|0-1
Brodeur|The Red Hot Chilly Wings|L1|0-1
Brodeur|Bitch, Don't Phil My Vibe|L1|0-1
Brodeur|blackandorangeblackandorange|L1|0-1
Brodeur|KESSEL Me Babeh|L1|0-1
Brodeur|Let's Taco Bout Lack, Baby|L1|0-1
Roy|Malkin Kari'd Neal|L1|0-1
Roy|Is This Baseball?|L1|0-1
Roy|macerating toilet|L1|0-1
Roy|Bar Down|L1|0-1
Roy|What The Puck|L1|0-1
Roy|Pickle Sunrise|L1|0-1
Roy|Oh The Places We'll Go!|L1|0-1
Hasek|Daft Puck|L1|0-1
Hasek|Kwik-E-Mart Gougers|L1|0-1
Hasek|Boyz N Da Hud|L1|0-1
Hasek|PuckingFricks|L1|0-1
Hasek|Kurri Farts|L1|0-1
Hasek|Zetterberg Curve|L1|0-1
Hasek|Weapons Of Mass Destruction|L1|0-1
Esposito|Mutts HC|L1|0-1
Esposito|The Ottawa BeeVees|L1|0-1
Esposito|Tatar Sauce|L1|0-1
Esposito|Wu LeTang Clan|L1|0-1
Esposito|In Mcdavid We Trust|L1|0-1
Esposito|Valdamikill|L1|0-1
Esposito|Neal's Knees|L1|0-1
Sakic|Pompous Cake Eaters|L1|0-1
Sakic|Kane I Come Inside|L1|0-1
Sakic|Phaneuf Said|L1|0-1
Sakic|Whirlybirds|L1|0-1
Sakic|Gary Bettman Fan Club|L1|0-1
Sakic|Ovechtrick|L1|0-1
Sakic|Suplexelby City|L1|0-1
Coffey|I Can Phil It In The Air Tonight|L1|0-1
Coffey|Tatar Sauce|L1|0-1
Coffey|Acadian Fisherman|L1|0-1
Coffey|AGexpress|L1|0-1
Coffey|These Pretzels are Malkin me Thirsty|L1|0-1
Coffey|Sutter's Sayings|L1|0-1
Coffey|Cinnamon Toews Crunch|L1|0-1
Yzerman|2hot2yandle|L1|0-1
Yzerman|Netflix and Phil|L1|0-1
Yzerman|Taro's Tsujimotos|L1|0-1
Yzerman|Troublemakers|L1|0-1
Yzerman|#STAMCOCK2016|L1|0-1
Yzerman|BABS4LIFE|L1|0-1
Yzerman|Ain't no Hall or Backes girl|L1|0-1
Dionne|We Dem Boyes|L1|0-1
Dionne|Finnishing Touch|L1|0-1
Dionne|cherub|L1|0-1
Dionne|Ice Roosters|L1|0-1
Dionne|KanesLifeMatters|L1|0-1
Dionne|Mill-e-wah-que|L1|0-1
Dionne|Glweebs|L1|0-1
Lemieux|The Judean People's Front|L1|0-1
Lemieux|Pastrnak the Purcell|L1|0-1
Lemieux|Strokin' It|L1|0-1
Lemieux|The Ponies of Equestria|L1|0-1
Lemieux|Crane Gang|L1|0-1
Lemieux|DID I S-S-SUTER?|L1|0-1
Lemieux|Pretend This Name's Clever|L1|0-1
Bourque|Shhh.. Sleepers at Work|L1|0-1
Bourque|Yak City|L1|0-1
Bourque|Penners house of pancakes|L1|0-1
Bourque|The Milk Drinkers|L1|0-1
Bourque|Just the Tip|L1|0-1
Bourque|The Good Times Are Killorn Me|L1|0-1
Bourque|The Allen Johnsons Project|L1|0-1
Francis|Setoguchi Mane|L1|0-1
Francis|Lou's Clues|L1|0-1
Francis|Defibrillators|L1|0-1
Francis|Mud Dragons|L1|0-1
Francis|Phil's Hot Dogs|L1|0-1
Francis|temp|L1|0-1
Francis|Fuzzy Orange Monster|L1|0-1
Recchi|Cold As Ice|L1|0-1
Recchi|The Disciples of Ginger Jesus|L1|0-1
Recchi|Mike Hunt|L1|0-1
Recchi|Top Banter|L1|0-1
Recchi|I'm Voodoo|L1|0-1
Recchi|Shivakamini Somakandarkram|L1|0-1
Recchi|Mackinnon on your Girl|L1|0-1
Howe|Blue & White Disease|L1|0-1
Howe|Fecal Falcons|L1|0-1
Howe|Capital Punishment|L1|0-1
Howe|Crosby, Staals & Nash|L1|0-1
Howe|South Detroit Journeymen|L1|0-1
Howe|Molemen|L1|0-1
Howe|Charlottetown Islanders|L1|0-1
Jagr|kaner? I barely know her!|L1|0-1
Jagr|Hash Hockey|L1|0-1
Jagr|Trans-Siberian Snipe Show|L1|0-1
Jagr|Why You Heff to be mad. Is only game.|L1|0-1
Jagr|Coinflippers|L1|0-1
Jagr|King of the Kessel|L1|0-1
Jagr|Malkin in the Middle|L1|0-1
Messier|The Jive Turkays|L1|0-1
Messier|MIKE HASSELHOFFMAN|L1|0-1
Messier|GB Puckers|L1|0-1
Messier|Parenteau Guidance|L1|0-1
Messier|Pentium Dual-Corbs|L1|0-1
Messier|Seguin "Grassy Knoll" Snipers|L1|0-1
Messier|The Mighty Red Pandas|L1|0-1
-----

###WEEKLY LEAGUE LEADERS - Who scored the most points this week?
**LEAGUE**|**TEAM**|**WEEKLY POINTS**|**WEEKLY RANK**
:-:|:-:|:-:|:-:
Howe|MacDaddy|219.12|1
Coffey|Dany Heatley's Limo Service|213.19|2
Yzerman|Duck Duck Nyquist|194.73|3
Recchi|Cech's Other Brother|177.63|4
Bourque|Glatt's Greatures|173.5|5
Sakic|#SaveTheTables|171.28|6
Hasek|Denim Chicken|170.83|7
Dionne|Krieder Hard|170.62|8
Esposito|Kane I get a hell Yeah!|168.74|9
Francis|Heil Sittler|168.36|10
Roy|Mint Barrie Crunch!|167.01|12
Messier|Flop To The Top|162.88|14
Lemieux|Kronwall Of Pain|160.54|17
Gretzky|Tarasenkyu Very Much|155.97|24
Brodeur|Cell Phones and Plane Tickets|155.9|25
Jagr|tba name|152.45|27
-----

###WEEKLY WALL-OF-SHAME - Who scored the fewest points this week?
**LEAGUE**|**TEAM**|**WEEKLY POINTS**
:-:|:-:|:-:
Lemieux|DID I S-S-SUTER?|70.26
Dionne|cherub|73.29
Francis|Mud Dragons|74.11
-----

###WEEKLY LEAGUE AVERAGES - What did each league average this week?
**LEAGUE**|**WEEKLY AVERAGE**
:-:|:-:
Roy|129.993
Hasek|128.101
Gretzky|127.324
Jagr|125.075
Bourque|124.468
Brodeur|124.075
Lemieux|123.526
Dionne|122.272
Esposito|122.216
Howe|121.436
Sakic|120.145
Yzerman|119.629
Recchi|118.949
Messier|118.589
Coffey|116.971
Francis|113.954
-----

###CLOSEST MATCH - Who's really thankful for that extra shot and hit and who suffered a tough loss?
**Cammalleri Toews**|**I'm Voodoo**
:-:|:-:
115.1|114.81
Difference:|0.29
League:|Recchi
-----

###BIGGEST BLOWOUT - Who forgot to bring their 'A' game?
**Crosby, Staals & Nash**|**MacDaddy**
:-:|:-:
121.18|219.12
Difference:|97.94
League:|Howe
-----

###CO-COMMISH OVERALL LEADERBOARD - Which co-commissioners are doing the best?
**LEAGUE** | **TEAM** | **CUMULATIVE POINTS** | **OVERALL RANK**
:-:|:-:|:-:|:-:
Roy|Hiller Invades Bolland|161.6|16
Hasek|JewChooTrain|157.0|20
Brodeur|That's What She Saad|140.88|46

